x,y,Mean1,Mean2,Diff,,,,,,,
94.25,28.75,829.7350131,838.7920118,-9.056998715,,,,,,,
94.5,28.75,944.4175166,947.6720147,-3.254498084,,,,,,,
94.75,28.75,1059.10002,1056.552018,2.548002548,,,,,,,
95,28.75,991.1775165,984.1900169,6.987499623,,,,,,,
95.25,28.75,923.2550128,911.8280161,11.4269967,,,,,,,
95.5,28.75,908.4825159,896.1860151,12.29650075,,,,,,,
95.75,28.75,893.710019,880.5440142,13.16600481,,,,,,,
96,28.75,835.1775168,824.2840141,10.89350273,,,,,,,
96.25,28.75,776.6450146,768.024014,8.621000643,,,,,,,
96.5,28.75,735.7200143,727.5580136,8.16200069,,,,,,,
94.25,29,745.2450131,754.5500108,-9.304997663,,,,,,,
94.5,29,806.4775151,809.7460121,-3.268496938,,,,,,,
94.75,29,867.7100172,864.9420134,2.768003788,,,,,,,
95,29,859.8925168,854.6100141,5.282502702,,,,,,,
95.25,29,852.0750164,844.2780148,7.797001617,,,,,,,
95.5,29,829.0362651,820.4290142,8.6072509,,,,,,,
95.75,29,805.9975139,796.5800137,9.417500184,,,,,,,
96,29,752.5625134,743.1950131,9.36750035,,,,,,,
96.25,29,699.127513,689.8100125,9.317500517,,,,,,,
96.5,29,671.6762631,662.825012,8.851251035,,,,,,,
94.5,29.25,668.5375136,671.8200094,-3.282495792,,,,,,,
94.75,29.25,676.3200142,673.3320092,2.988005028,,,,,,,
95,29.25,728.6075171,725.0300113,3.577505782,,,,,,,
95.25,29.25,780.89502,776.7280135,4.167006536,,,,,,,
95.5,29.25,749.5900144,744.6720133,4.918001046,,,,,,,
95.75,29.25,718.2850087,712.6160132,5.668995557,,,,,,,
96,29.25,669.9475101,662.1060121,7.841497974,,,,,,,
96.25,29.25,621.6100114,611.596011,10.01400039,,,,,,,
96.5,29.25,607.6325119,598.0920105,9.54050138,,,,,,,
96,29.5,611.0750093,603.9370112,7.13799808,,,,,,,
